AMG|ALMA|115100|0|1|195|31536556|-82508089|194|K7
AMI|AMARI|115300|1|1|195|59267167|24246806|100|EE
AML|AL-MASSIRA AGADIR|402000|0|0|195|30323611|-9454639|0|GM
AML|AMALIAS|367000|0|0|195|37775833|21347222|0|LG
AML|ANDRAVIDA|133400|0|1|195|37930000|21284667|55|LG
AML|ARMEL HERNDON|113500|1|1|195|38934592|-77466703|296|K6
AML|KIRSTIN|402000|0|0|195|64994069|6550522|0|EN
AMN|AMBON|115500|1|1|195|-3614919|128186061|33|WA
AMN|AMMAN|116300|1|1|195|32004072|36065986|2264|OJ
AMN|ALMERIA|310000|0|0|195|36848361|-2378194|0|LE
AMR|ALMERIA|114100|1|1|195|36833167|-2259417|295|LE
AMS|MAZAR|116800|1|1|195|36702111|67211250|1294|OA
AMS|AMSTERDAM|113950|0|1|195|52332639|4705694|1|EH
AN|ATUONA|294000|0|0|195|-9752417|-139001222|1469|NT
AN|FELIX HOUPHOUET-BOIGNY|110300|0|1|195|5270667|-3920722|39|DI
AN|SANAA INTL|228000|0|0|195|15556222|44220139|7237|OY
AN|ANN|385000|0|0|195|19779900|94028150|0|VY
AN|BOGGA ANNISTON|211000|0|0|195|33534339|-85931269|590|K7
AN|RABAH BITAT|109700|0|1|195|36842472|7811219|16|DA
AN|ANAPA|480000|0|0|195|44967889|37303722|0|UR
AN|ARVIDSJAUR|381000|0|0|195|65633917|19143028|1241|ES
AN|ANDOYA|109350|0|1|195|69283572|16159269|42|EN
ANA|SANTA ANA|345000|0|0|195|-13762889|-65432028|0|SL
ANB|ANNABA|113500|1|1|195|36832444|7814583|16|DA
ANC|ANCONA|110650|1|1|195|43586444|13471111|879|LI
AND|ANDAHUAYLAS|114300|1|1|195|-13714225|-73377833|11300|SP
AND|ANDONG|114800|1|1|195|30256667|121221667|105|ZS
AND|ANDRANIK|1220000|0|0|195|39830267|44992486|0|UD
AND|TEPLYY KLYUCH|113800|1|1|195|62791111|136853611|984|UE
AND|ANDOYA|112200|1|1|195|69287828|16141378|55|EN
ANE|ARLANDA STOCKHOLM|113300|0|1|195|59693972|18059861|120|ES
ANG|ANGADS|108100|0|1|195|34809278|-1948861|1575|GM
ANG|ANGERS|111050|0|1|195|47536861|-851833|304|LF
ANG|NIZHNEANGARSK|113800|0|1|195|55799167|109596667|1575|UI
ANI|ANIAK|359000|0|0|195|61590156|-159597892|88|PA
ANK|ANARAK|112700|1|1|195|33537528|53729667|3445|OI
ANK|ANKARA|114900|0|1|195|39953278|32828333|2835|LT
ANK|ANKARA|356000|0|0|195|39953278|32828333|0|LT
ANL|NEA ANCHIALOS|115600|0|1|195|39213614|22744075|82|LG
ANN|ANNETTE ISLAND|117100|1|1|195|55060408|-131578400|174|PA
ANS|ANSBACH|452000|0|0|195|49308897|10631575|1526|ED
ANT|ANTALYA|109100|0|1|195|36875722|30789306|187|LT
ANT|ANTWERP DEURNE|113500|1|1|195|51190472|4472583|100|EB
ANT|ANTONI|113700|0|1|195|60863008|25126819|314|EF
ANU|ANAMBRA|113800|1|1|195|6279722|6895139|218|DN
ANU|V C BIRD SAINT JOHNS|114500|1|1|195|17125881|-61800167|400|TA
ANW|AINSWORTH|112700|1|1|195|42569114|-99989661|2605|K3
ANW|ARLANDA STOCKHOLM|112050|0|1|195|59713278|17852583|176|ES
ANX|NAPOLEON|115150|1|1|195|39095425|-94128836|878|K3
ANY|SEMARANG|115200|1|1|195|-6974694|110380111|9|WI
ANY|ANTHONY|112900|0|1|195|37158983|-98170775|1392|K3
AO|KANO|340000|0|0|195|12058667|8541750|1470|DN
AO|SZOLNOK|282000|0|0|195|47081000|20211806|0|LH
AO|K8-FA-1|371000|0|0|195|53499444|3368889|0|EH
AO|ALGASOVO|115300|0|1|195|53680000|41680000|492|UU
AO|AKSINYINO|732000|0|0|195|55152778|38288611|500|UU
AOG|ROTA|108600|0|1|195|36647861|-6349056|114|LE
AP|TAUPO|230000|0|0|195|-38743214|176074286|1335|NZ
AP|TAUPO|116700|0|1|195|-38743214|176074286|1273|NZ
AP|APIAY|270000|0|0|195|4072125|-73478828|0|SK
AP|ATTOPEU|212000|0|0|195|14800000|106816667|0|VL
AP|ANBU|250000|0|0|195|25175694|121522361|0|RC
AP|ASHGABAT|407000|0|0|195|37968611|58384250|0|UT
AP|FELPS ALPENA|206000|0|0|195|44960772|-83560086|726|K5
AP|ANAPA|480000|0|0|195|45035139|37389972|0|UR
AP|VORONEZH|289000|0|0|195|51776944|39301389|0|UU
AP|ALYKEL NORILSK|535000|0|0|195|69268167|87255639|0|UN
APC|APUCARANA|215000|0|0|195|-23614619|-51424150|0|SB
APE|APPLETON|116700|1|1|195|40151064|-82588300|1354|K5
APG|ALTO PARAISO DE GOIAS|112300|0|1|195|-14119444|-47526667|4362|SB
APN|ALPENA|116500|1|1|195|45082778|-83557003|678|K5
APO|ANAPOLIS|116800|1|1|195|-16245367|-48979089|3728|SB
APT|APATITY-KHIBINY|115000|1|1|195|67450556|33625556|492|UL
APU|ANBU TAIPEI|112500|1|1|195|25176861|121522250|3594|RC
AQ|ABQAIQ|290000|0|0|195|25905369|49596075|234|OE
AQ|KOOKY APPLETON|407000|0|0|195|44215947|-88398939|752|K5
AQB|KING HUSSEIN AQABA|113100|1|1|195|29582928|35008028|189|OJ
AQE|ALWOOD GREENVILLE|230000|0|0|195|35706889|-77371875|39|K7
AR|AMRITSAR|351000|0|0|195|31687250|74808000|0|VI
AR|ZHANGZHUANG|520000|0|0|195|36723333|116916667|0|ZS
AR|BARNAUL|428000|0|0|195|53381500|83613056|0|UN
AR|BUZHAROVO|1080000|0|0|195|55983333|36799167|0|UU
AR|AKUREYRI|334000|0|0|195|65755944|-18089611|0|BI
ARA|ARAXOS|112700|1|1|195|38158983|21429411|73|LG
ARB|ARDABIL|115700|1|1|195|38315694|48434750|4307|OI
ARB|ARDABIL|355000|0|0|195|38330611|48415111|0|OI
ARD|ARADAH|116900|1|1|195|21227694|55265028|300|OE
ARD|YARDLEY|108200|1|1|195|40253342|-74907611|294|K6
ARD|ARAD|109000|1|1|195|46184083|21143611|400|LR
ARE|AREALVA|340000|0|0|195|-22168822|-49069675|2060|SB
ARF|CENGIZ TOPEL|383500|0|0|195|40731722|30087611|0|LT
ARF|CENGIZ TOPEL|113900|0|1|195|40737778|30065361|197|LT
ARG|ARGYLE|113900|1|1|195|-16631694|128448750|543|YB
ARG|WALNUT RIDGE|114500|1|1|195|36110019|-90953694|265|K4
ARH|EL ARISH|113600|1|1|195|31073000|33831861|140|HE
ARH|FORT HUACHUCA|111600|0|1|195|31585581|-110338983|4660|K2
ARI|ARICA|116500|1|1|195|-18369444|-70346389|88|SC
ARI|NADOR|116000|1|1|195|34986778|-3029250|591|GM
ARI|AGRI|116700|1|1|195|39646056|43027000|5479|LT
ARI|AGRI|289000|0|0|195|39646056|43027000|0|LT
ARK|ARAK|280000|0|0|195|34134472|49848667|0|OI
ARK|ARAK|114800|1|1|195|34137194|49853833|5449|OI
ARK|ARKALYK|113000|1|1|195|50317778|67021667|1300|UA
ARL|ARALSK|113600|1|1|195|46825556|61618056|300|UA
ARL|ARLANDA STOCKHOLM|116000|1|1|195|59653417|17914472|149|ES
ARM|ARMIDALE|112600|0|1|195|-30527722|151615389|3559|YB
ARM|ARMIDALE|401000|0|0|195|-30527306|151615028|3631|YB
ARN|ARINI|109950|0|1|195|46379444|27156667|1900|LR
